"		지점번호",지점명,date,avg_temp,max_temp,"	최고기온시각",min_temp,최저기온시각일교차,
"		108",서울,1946-04-02,11,11.8,3:50,9.4,18:10,2.4
"		108",서울,1946-04-03,13.6,15.8,14:45,9.7,0:02,6.1
"		108",서울,1946-04-04,13.5,19.5,15:45,9.2,8:01,10.3
"		108",서울,1946-04-05,12.4,15,16:57,8.6,24:00:00,6.4
"		108",서울,1946-04-06,7,10.3,15:28,4.3,24:00:00,6
"		108",서울,1946-04-07,6.2,13.4,14:10,0.2,7:00,13.2
"		108",서울,1946-04-08,6.9,13.8,14:08,0.8,6:14,13
"		108",서울,1947-04-02,3.5,6.2,12:00,1.7,24:00:00,4.5
"		108",서울,1947-04-03,5.9,11,14:45,-0.7,6:17,11.7
"		108",서울,1947-04-04,4,8.6,15:57,0.6,4:59,8
"		108",서울,1947-04-05,5.3,11.1,16:03,-1,6:00,12.1
"		108",서울,1947-04-06,9.5,17.2,16:00,2.7,5:50,14.5
"		108",서울,1947-04-07,10.1,14.2,15:45,5.3,6:00,8.9
"		108",서울,1947-04-08,9,11.5,16:00,5,0:00,6.5
"		108",서울,1948-04-02,11.9,14.4,14:55,10.4,6:29,4
"		108",서울,1948-04-03,12.8,20.6,13:31,8.2,24:00:00,12.4
"		108",서울,1948-04-04,12.3,21.8,15:57,5.1,6:30,16.7
"		108",서울,1948-04-05,13.8,21.7,14:08,7.5,7:00,14.2
"		108",서울,1948-04-06,13.2,21.4,13:47,6.3,6:15,15.1
"		108",서울,1948-04-07,14,21.3,15:40,8,6:35,13.3
"		108",서울,1948-04-08,16.2,23.5,14:32,11,5:00,12.5
"		108",서울,1949-04-02,10.6,18.6,15:05,5.1,6:45,13.5
"		108",서울,1949-04-03,6.3,9.5,16:35,3.3,10:15,6.2
"		108",서울,1949-04-04,7,12.5,15:05,1.6,7:30,10.9
"		108",서울,1949-04-05,4.4,7.5,10:10,1.6,12:25,5.9
"		108",서울,1949-04-06,4.2,9.1,15:40,0.8,6:45,8.3
"		108",서울,1949-04-07,5.9,11.1,14:07,1.4,6:30,9.7
"		108",서울,1949-04-08,8.6,16.2,15:25,1.7,6:55,14.5
"		108",서울,1950-04-02,11.4,19.2,12:20,5.5,6:45,13.7
"		108",서울,1950-04-03,11,16.3,14:25,7.7,6:20,8.6
"		108",서울,1950-04-04,12,21.6,15:07,5.2,7:26,16.4
"		108",서울,1950-04-05,7.7,10.7,0:00,5.5,24:00:00,5.2
"		108",서울,1950-04-06,5.4,9.8,12:20,3.3,5:00,6.5
"		108",서울,1950-04-07,5.2,10.2,16:37,2.5,4:45,7.7
"		108",서울,1950-04-08,6.2,11.8,16:13,1.1,6:15,10.7
"		108",서울,1952-04-02,,,,,,
"		108",서울,1952-04-03,,,,,,
"		108",서울,1952-04-04,,,,,,
"		108",서울,1952-04-05,,,,,,
"		108",서울,1952-04-06,,,,,,
"		108",서울,1952-04-07,,,,,,
"		108",서울,1952-04-08,,,,,,
"		108",서울,1953-04-02,,,,,,
"		108",서울,1953-04-03,,,,,,
"		108",서울,1953-04-04,,,,,,
"		108",서울,1953-04-05,,,,,,
"		108",서울,1953-04-06,,,,,,
"		108",서울,1953-04-07,,,,,,
"		108",서울,1953-04-08,,,,,,
"		108",서울,1954-04-02,11.3,19.5,13:54,5.5,6:17,14
"		108",서울,1954-04-03,11.6,19.9,16:00,5.6,4:50,14.3
"		108",서울,1954-04-04,13.9,22.3,15:14,7.4,5:44,14.9
"		108",서울,1954-04-05,15.4,22.4,15:30,11.6,24:00:00,10.8
"		108",서울,1954-04-06,13.6,21.6,14:31,7.6,5:43,14
"		108",서울,1954-04-07,8,11.8,10:08,6.1,22:31,5.7
"		108",서울,1954-04-08,9.5,15.7,14:33,5.4,5:57,10.3
"		108",서울,1955-04-02,7.2,13.9,14:16,2.9,6:35,11
"		108",서울,1955-04-03,5.3,11.1,13:26,0.7,24:00:00,10.4
"		108",서울,1955-04-04,3.1,9,15:09,-2.5,6:00,11.5
"		108",서울,1955-04-05,7.7,14.8,15:36,1.1,5:30,13.7
"		108",서울,1955-04-06,12.3,17.9,13:27,6.7,4:21,11.2
"		108",서울,1955-04-07,16.5,21.2,13:28,10.2,2:38,11
"		108",서울,1955-04-08,15.7,22.2,13:05,9.8,18:55,12.4
"		108",서울,1956-04-02,3.4,5.5,15:31,1.4,7:32,4.1
"		108",서울,1956-04-03,4.9,8.8,15:31,2.4,4:25,6.4
"		108",서울,1956-04-04,5.6,11.3,14:25,2.2,5:38,9.1
"		108",서울,1956-04-05,7.4,13.3,15:12,2.3,6:12,11
"		108",서울,1956-04-06,6.8,10.4,15:00,2.9,6:00,7.5
"		108",서울,1956-04-07,6.4,9.5,11:06,4.8,24:00:00,4.7
"		108",서울,1956-04-08,7.3,11.1,16:33,4.8,0:01,6.3
"		108",서울,1957-04-02,3,8.6,14:15,-2,5:00,10.6
"		108",서울,1957-04-03,3.5,10.6,15:01,-1.8,5:54,12.4
"		108",서울,1957-04-04,5.9,13,14:47,-0.8,6:01,13.8
"		108",서울,1957-04-05,8.7,15,15:24,3.5,5:59,11.5
"		108",서울,1957-04-06,9.8,17.7,12:26,2.1,5:50,15.6
"		108",서울,1957-04-07,11.8,20.5,12:31,4.4,6:21,16.1
"		108",서울,1957-04-08,13.5,22.2,12:54,5.6,6:15,16.6
"		108",서울,1958-04-02,8.3,15.3,14:28,1.4,6:06,13.9
"		108",서울,1958-04-03,12.6,21,14:59,4.4,6:15,16.6
"		108",서울,1958-04-04,12.8,20.2,13:32,7,5:10,13.2
"		108",서울,1958-04-05,14.3,22.3,13:16,5.7,4:45,16.6
"		108",서울,1958-04-06,13.9,19.1,14:12,7.9,24:00:00,11.2
"		108",서울,1958-04-07,8.9,14.1,14:02,4.4,5:25,9.7
"		108",서울,1958-04-08,7,9.9,11:32,5.1,24:00:00,4.8
"		108",서울,1959-04-02,9.9,17.8,14:01,3.3,6:30,14.5
"		108",서울,1959-04-03,10.7,15.1,11:29,6,4:48,9.1
"		108",서울,1959-04-04,9.4,13.6,4:47,6.5,23:56,7.1
"		108",서울,1959-04-05,7.4,11.3,16:34,5.3,0:00,6
"		108",서울,1959-04-06,8.1,14.3,13:00,3.3,4:05,11
"		108",서울,1959-04-07,8.9,14.8,15:06,3.1,5:43,11.7
"		108",서울,1959-04-08,10.8,19.2,13:04,4.4,5:33,14.8
"		108",서울,1960-04-02,4.4,10.4,,-0.9,,11.3
"		108",서울,1960-04-03,6.9,12.9,,0.2,,12.7
"		108",서울,1960-04-04,6.9,12.2,,3.2,,9
"		108",서울,1960-04-05,5.3,10.6,,0.6,,10
"		108",서울,1960-04-06,8.5,15.8,,3.2,,12.6
"		108",서울,1960-04-07,4.8,10.8,,-0.4,,11.2
"		108",서울,1960-04-08,7.3,15,,0.2,,14.8
"		108",서울,1961-04-02,8.7,15.8,15:40,1.8,5:49,14
"		108",서울,1961-04-03,14.6,19.6,14:45,6.4,1:30,13.2
"		108",서울,1961-04-04,13.4,17.8,2:26,7.4,21:25,10.4
"		108",서울,1961-04-05,8,11.8,16:26,4.4,6:40,7.4
"		108",서울,1961-04-06,5.4,9.6,15:18,2.6,6:35,7
"		108",서울,1961-04-07,9.7,18.4,15:14,1.4,5:24,17
"		108",서울,1961-04-08,8.5,12.8,15:10,2.7,24:00:00,10.1
"		108",서울,1962-04-02,6.9,13,0:02,0.6,24:00:00,12.4
"		108",서울,1962-04-03,-1,1.5,13:05,-3.5,7:24,5
"		108",서울,1962-04-04,1.5,6.3,17:25,-3.8,6:30,10.1
"		108",서울,1962-04-05,7.9,13.8,15:03,1.4,6:00,12.4
"		108",서울,1962-04-06,9.8,13.9,16:50,5.4,5:05,8.5
"		108",서울,1962-04-07,13.3,15.3,12:00,11.8,5:45,3.5
"		108",서울,1962-04-08,11.6,14.9,11:50,8.2,22:00,6.7
"		108",서울,1963-04-02,8.6,14.8,15:07,2,6:46,12.8
"		108",서울,1963-04-03,6.5,9.4,13:47,2.8,5:30,6.6
"		108",서울,1963-04-04,12.5,19.5,16:22,6.9,3:00,12.6
"		108",서울,1963-04-05,14.5,16.4,7:30,9.6,24:00:00,6.8
"		108",서울,1963-04-06,6.6,9.9,1:45,4.4,24:00:00,5.5
"		108",서울,1963-04-07,7.7,12.3,15:03,3.3,6:40,9
"		108",서울,1963-04-08,4.3,5.9,10:05,1.8,6:07,4.1
"		108",서울,1964-04-02,13.7,19.3,16:52,7.2,6:12,12.1
"		108",서울,1964-04-03,15.3,18,14:54,13.8,24:00:00,4.2
"		108",서울,1964-04-04,16.4,22.7,16:38,12.6,2:41,10.1
"		108",서울,1964-04-05,15.5,18.2,17:25,12.4,24:00:00,5.8
"		108",서울,1964-04-06,6.4,12.4,0:00,2.8,21:05,9.6
"		108",서울,1964-04-07,4.5,8.1,12:19,2.4,24:00:00,5.7
"		108",서울,1964-04-08,5.6,9.8,15:18,0.7,5:55,9.1
"		108",서울,1965-04-02,4.1,9.4,14:07,-1.3,6:02,10.7
"		108",서울,1965-04-03,5.7,11.8,15:46,1.6,7:50,10.2
"		108",서울,1965-04-04,5.7,11.6,14:48,2.6,5:40,9
"		108",서울,1965-04-05,6.3,11.2,14:58,0.8,6:32,10.4
"		108",서울,1965-04-06,6.6,13.1,15:16,0.3,6:52,12.8
"		108",서울,1965-04-07,8.2,15.6,15:25,2,6:00,13.6
"		108",서울,1965-04-08,7.7,12.6,14:33,5,24:00:00,7.6
"		108",서울,1966-04-02,8.5,14.8,13:50,2.9,6:30,11.9
"		108",서울,1966-04-03,9.9,15.8,15:39,5.2,24:00:00,10.6
"		108",서울,1966-04-04,6.4,12.8,14:18,3.2,6:35,9.6
"		108",서울,1966-04-05,5.8,12.8,15:40,0.2,6:25,12.6
"		108",서울,1966-04-06,8.6,15.8,14:36,1.6,6:28,14.2
"		108",서울,1966-04-07,9.6,16.8,14:20,5,6:35,11.8
"		108",서울,1966-04-08,9.5,14.8,14:13,6.1,6:45,8.7
"		108",서울,1967-04-02,15,21.2,14:45,8.8,6:56,12.4
"		108",서울,1967-04-03,11.3,17.1,11:49,4.1,23:32,13
"		108",서울,1967-04-04,4.3,8.4,16:11,1.6,6:42,6.8
"		108",서울,1967-04-05,6.7,11.4,14:35,1.1,6:43,10.3
"		108",서울,1967-04-06,8.2,13,15:41,3.6,5:24,9.4
"		108",서울,1967-04-07,12.7,19.5,15:01,4.7,6:28,14.8
"		108",서울,1967-04-08,9,11.8,0:00,7.1,9:00,4.7
"		108",서울,1968-04-02,10.3,17.2,15:38,4,6:22,13.2
